PredatorMasskg,MostCommonPreyMasskg
367.6648611,131.6806351
164.8260514,204.5299782
192.3715622,147.0045163
56.47780577,113.7043009
86.78133352,42.21803426
49.34931508,78.77970363
44.16461506,84.77871948
47.76107419,54.58229506
29.28308893,14.83592882
11.46847057,16.86908915
48.25142042,34.50234437
23.79478267,34.50234437
15.26249544,47.13101285
12.76706439,42.99977028
12.04280473,30.90578938
43.93888907,33.87509159
